172,69
172,53
172,37
180,29
172,29
172,21
156,25
162,9
148,9
132,21
136,9
128,9
120,9
124,21
124,29
124,37
124,45
124,53
124,61
132,61
124,69
140,65
124,77
132,81
124,85
104,89
104,97
104,81
104,73
104,65
104,57
104,49
88,49
104,41
104,33
104,25
104,17
80,9
92,9
72,9
80,25
80,25
56,49
72,49
72,25
56,41
72,41
80,41
64,41
64,21
56,9
56,17
56,33
44,11
56,25
44,27
44,35
24,17
16,17
32,17
16,25
24,25
32,25
8,41
32,41
8,57
24,45
16,57
8,49
8,65
32,49
32,65
32,57
48,51
40,63
56,65
56,57
44,43
48,63
40,73
48,73
32,73
40,51
56,81
56,73
56,89
40,83
48,83
32,81
16,97
24,89
32,89
8,89
8,109
16,109
8,97
8,73
8,81
32,97
40,99
48,99
56,105
56,97
56,113
32,113
40,113
56,121
40,137
32,129
32,121
40,121
56,129
56,137
40,129
32,137
40,145
56,145
32,145
40,153
32,169
32,161
32,153
40,161
40,169
56,161
56,169
64,165
56,153
64,157
80,157
90,165
104,169
104,161
104,153
104,145
104,137
104,129
104,121
104,113
104,105
124,101
124,93
124,109
124,117
124,125
140,137
132,145
132,137
116,161
124,145
116,145
124,169
140,145
132,169
148,169
140,169
156,169
172,169
164,169
148,145
164,137
172,145
164,145
156,145
156,137
148,137
180,125
172,125
172,117
172,109
180,117
180,109
180,101
172,93
148,85
180,77
172,101
180,93
180,85
164,81
188,93
172,85
196,101
204,109
212,117
212,145
188,169
188,145
196,161
196,145
204,145
196,169
204,169
246,157
212,169
220,169
236,169
228,169
228,161
220,145
228,145
256,141
256,157
246,141
236,145
270,133
288,149
280,133
288,129
260,129
252,125
228,125
220,125
228,117
228,109
228,101
236,101
236,85
236,93
228,85
228,93
252,101
260,93
280,109
260,109
284,101
288,109
276,93
276,85
268,97
284,93
276,101
284,85
284,77
260,69
260,61
276,77
260,77
260,85
276,69
284,61
276,53
284,69
276,61
284,53
260,53
260,45
260,37
260,29
252,21
236,21
236,29
228,21
228,29
236,37
228,37
228,45
236,45
228,61
228,53
236,53
236,61
220,73
236,69
236,77
228,77
228,69
212,65
204,57
196,49
180,37
188,41
172,45
180,21
180,53
180,61
180,69
180,45
172,61
172,77
172,69
